city08,comb08,cylinders,displ,fuelType,highway08,make,model,trany,VClass,year
city MPG,combined MPG,engine cylinders,engine displacement in liters,fuel type,highway MPG,manufacturer,model name,transmission descriptor,EPA vehicle size class,model year
14,15,8,4.7,Gasoline or E85,19,Dodge,Dakota Pickup 2WD,Automatic 5-spd,Standard Pickup Trucks 2WD,2008
13,15,8,4.7,Gasoline or E85,18,Dodge,Ram 1500 Pickup 2WD,Automatic 5-spd,Standard Pickup Trucks 2WD,2008
13,14,8,4.7,Gasoline or E85,17,Dodge,Ram 1500 Pickup 2WD,Manual 6-spd,Standard Pickup Trucks 2WD,2008
13,15,8,5.4,Gasoline or E85,18,Ford,F150 Pickup 2WD FFV,Automatic 4-spd,Standard Pickup Trucks 2WD,2008
14,15,8,5.4,Gasoline or E85,19,Ford,F150 STX SE 2WD FFV,Automatic 4-spd,Standard Pickup Trucks 2WD,2008
14,15,8,4.7,Gasoline or E85,19,Mitsubishi,Raider Pickup 2WD,Automatic 5-spd,Standard Pickup Trucks 2WD,2008
14,15,8,4.7,Gasoline or E85,19,Dodge,Dakota Pickup 4WD,Automatic 5-spd,Standard Pickup Trucks 4WD,2008
13,15,8,4.7,Gasoline or E85,17,Dodge,Ram 1500 Pickup 4WD,Automatic 5-spd,Standard Pickup Trucks 4WD,2008
12,14,8,4.7,Gasoline or E85,16,Dodge,Ram 1500 Pickup 4WD,Manual 6-spd,Standard Pickup Trucks 4WD,2008
13,15,8,5.4,Gasoline or E85,17,Ford,F150 Pickup 4WD FFV,Automatic 4-spd,Standard Pickup Trucks 4WD,2008
14,15,8,4.7,Gasoline or E85,19,Mitsubishi,Raider Pickup 4WD,Automatic 5-spd,Standard Pickup Trucks 4WD,2008
17,19,6,3.3,Gasoline or E85,24,Chrysler,Town and Country/Voyager/Grand Voy. 2WD,Automatic 4-spd,Minivan - 2WD,2008
17,19,6,3.3,Gasoline or E85,24,Dodge,Caravan/Grand Caravan 2WD,Automatic 4-spd,Minivan - 2WD,2008
14,15,8,4.7,Gasoline or E85,19,Chrysler,Aspen 2WD,Automatic 5-spd,Sport Utility Vehicle - 2WD,2008
14,15,8,4.7,Gasoline or E85,19,Dodge,Durango 2WD,Automatic 5-spd,Sport Utility Vehicle - 2WD,2008
13,15,8,4.7,Gasoline or E85,17,Chrysler,Aspen 4WD,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
13,15,8,4.7,Gasoline or E85,17,Dodge,Durango 4WD,Automatic 5-spd,Sport Utility Vehicle - 4WD,2008
22,26,4,2.2,Regular,31,Chevrolet,Cobalt,Automatic 4-spd,Subcompact Cars,2008
24,27,4,2.2,Regular,33,Chevrolet,Cobalt,Manual 5-spd,Subcompact Cars,2008
22,25,4,2.4,Premium,31,Chevrolet,Cobalt,Automatic 4-spd,Subcompact Cars,2008
18,21,6,2.7,Regular,26,Chrysler,Sebring Convertible,Automatic 4-spd,Subcompact Cars,2008
25,29,4,1.8,Regular,36,Honda,Civic,Automatic 5-spd,Subcompact Cars,2008
